"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893174036202414199","Sat Feb 22 05:40:38 +0000 2025","0","️ Kacamata Boneka Labubu Aksesori Lucu untuk Skzoo KPOP Doll Plush Doll &amp; BJD Doll! ️ labubu skzoo felixjin quokka leebit wolfchan dwikkyfox jiniret puppym lyongmo Click here https://t.co/bnSartD0yM https://t.co/byZF7qVKgO","1893174036202414199","https://pbs.twimg.com/media/GkXnwKNXMAAS7U6.jpg","","in","","0","0","0","https://x.com/leejenookr/status/1893174036202414199","1699418742822694913","leejenookr"
"1893103421953052734","Sat Feb 22 03:33:24 +0000 2025","0","@ARSIPAJA Intinya sebaran kekayaan dan kemakmuran tidak merata. Ada yang duitnya pas-pasan makanpun hanya cukup untuk beli lauk sayur. Ada yang duitnya berlebih bisa pergi nonton konser dan beli boneka labubu terbaru.","1893142015829016702","","ARSIPAJA","in","","0","0","0","https://x.com/rohmatsyahru/status/1893142015829016702","81120243","rohmatsyahru"
"1892951563855188266","Fri Feb 21 14:56:36 +0000 2025","0","cakep si tapi risih banget jalan ama lu ngegantungin boneka labubu hening dikit nyanyi mana ngomongin kpop mulu kyk gada topik lain aja bye","1892951563855188266","","","in","Unknown","0","0","0","https://x.com/ore_no_me/status/1892951563855188266","2255854614","ore_no_me"
"1892791279853195681","Fri Feb 21 04:27:32 +0000 2025","0","@evanalidyanti Sepertinya itu boneka labubu keliatan itu matanya","1892793250777346086","","evanalidyanti","in","","0","1","0","https://x.com/sinsfulllll/status/1892793250777346086","3876716713","sinsfulllll"
"1892574295374881034","Fri Feb 21 00:03:51 +0000 2025","0","@sapikbasee Kamu kalo sama aku nanti pas jalan berasa bawa boneka labubu kemana-mana lohh","1892726893817872792","","sapikbasee","in","tng","0","0","0","https://x.com/jewraith/status/1892726893817872792","1302109807269142528","jewraith"
"1891121722855731493","Thu Feb 20 23:33:59 +0000 2025","0","@ellogia OH njir kirain sejenis labubu ternyata namanya Sylvanian BARU TAU. Itu tuh boneka biasa kah or bisa dijadikan ganci?","1892719377637593394","","ellogia","in","MDNI. 23+ | i: 1923RASH","0","1","0","https://x.com/vraisravana/status/1892719377637593394","3269123162","vraisravana"
"1892544716530479403","Thu Feb 20 11:59:56 +0000 2025","0","Perasaan orang yg abis beli boneka labubu gimana?","1892544716530479403","","","in","Kazakhstan","0","1","0","https://x.com/scoorpioking/status/1892544716530479403","2281849758","scoorpioking"
"1892528644800868677","Thu Feb 20 10:56:05 +0000 2025","1","Mau pake in ke shichan eh taunya salah bawa boneka haha untung gk slaah beli baju soalny mahal Baju labubu beli buat shichan wkkwkw Baju labubu 140 an cewe banget gk suka 160 lakik cuman 1 ini doang wkkw https://t.co/KiJaWusNFa","1892528644800868677","https://pbs.twimg.com/media/GkObyjhXQAAR0NR.jpg","","in","My lope 🩵","1","0","0","https://x.com/averina_kho/status/1892528644800868677","1528940460378853376","averina_kho"
"1892467678939382086","Thu Feb 20 10:46:53 +0000 2025","0","@tersangcute Kek labubu tp boneka manusia","1892526330182283632","","tersangcute","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/imyourriku/status/1892526330182283632","1725812725115506689","imyourriku"
"1892488679572328604","Thu Feb 20 08:17:16 +0000 2025","0","Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Boneka Labubu V2 - Have A Seat Labubu / V2 Labubu Bisa Duduk / Blind Box Labubu Versi 2 - SC Harga Produk: Rp65.000 Harga Diskon: Rp26.000 | https://t.co/ihZbeySIEj","1892488679572328604","","","in","","0","0","0","https://x.com/sisierliana_97/status/1892488679572328604","1765935233814372352","sisierliana_97"
