"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1836021115023700163","Tue Sep 17 12:35:20 +0000 2024","0","5 Fakta Boneka Labubu yang Viral Bermula dari Lisa BLACKPINK hingga Kasus Penipuannya https://t.co/IH3hEOgkz5","1836021115023700163","","","in","Indonesia","0","0","0","https://x.com/haibundacom/status/1836021115023700163","864334585860980737","haibundacom"
"1836020475425952103","Tue Sep 17 12:32:47 +0000 2024","0","percakapan minggu lalu aku dan kachi: kenapasi orang orang suka labubu ya ang: ya sama aja kek boneka kalian itu coba itu berapa harganya (re: skzoo &amp; truz)","1836020475425952103","","","in","","0","0","0","https://x.com/cheezytrizy/status/1836020475425952103","282039589","cheezytrizy"
"1836020364008194450","Tue Sep 17 12:32:21 +0000 2024","0","labubu boneka genderuwo anjir","1836020364008194450","","","in","Jombang, Indonesia","0","0","0","https://x.com/ikiyayaaaa/status/1836020364008194450","1244981157092982788","ikiyayaaaa"
"1836017647064137983","Tue Sep 17 12:21:33 +0000 2024","0","‼️‼️ WTS BAJU LABUBU SHIRT MACARON / v2 HAVE A SEAT ‼️‼️ Tags. Wts wtb labubu macaron v2 have a seat baju boneka keychain ganci #zonajajan #zonauang #ZonaBA","1836017647064137983","","","in","","0","1","0","https://x.com/evantuallyoun/status/1836017647064137983","1174201238793195520","evantuallyoun"
"1836017256939065411","Tue Sep 17 12:20:00 +0000 2024","2","BONEKA karakter Labubu banyak diburu di Indonesia setelah populer di Thailand. Labubu semakin dicari setelah salah satu personel grup K-Pop Blackpink Lisa menggunakannya. https://t.co/srxk8mXeWT","1836017256939065411","","","in","Jakarta - Indonesia","0","1","1","https://x.com/mediaindonesia/status/1836017256939065411","68930552","mediaindonesia"
"1836016528451665955","Tue Sep 17 12:17:06 +0000 2024","0","Mendinglah cagub boneka partai. Dari pada boneka labubu ","1836016528451665955","","","in","","0","0","0","https://x.com/rizkiriza/status/1836016528451665955","48240634","rizkiriza"
"1836010355795083417","Tue Sep 17 12:16:53 +0000 2024","0","@Noviaaft drpd boneka labubu mending boneka mulyono ga sih https://t.co/J6gWU1e9U9","1836016474080911706","https://pbs.twimg.com/media/GXrXQBSaEAEvU49.jpg","Noviaaft","in","","0","0","0","https://x.com/sebatsampoerna/status/1836016474080911706","1216002420657909762","sebatsampoerna"
"1836016029665054891","Tue Sep 17 12:15:07 +0000 2024","0","Labubu : hanya sebuah boneka kecil dengan gigi gergajinya..memiliki harga diri yang mahal &amp; banyak di perebutkan oleh orang-orang..apakah 'umur' labubu akan panjang? tidak seperti 'umurnya' es kepal milo..","1836016029665054891","","","in","","0","0","0","https://x.com/Ririsqrius/status/1836016029665054891","1769330110182866944","Ririsqrius"
"1836015684117229937","Tue Sep 17 12:13:45 +0000 2024","2","wkwkwkwk bnr bgt gila di hal yg berbeda aja..go get your labubu.. gue jg beli boneka anjing ratusan ribu ngantri dr pagi pdhl konser mulai jam 8 malem","1836015684117229937","","","in","614","0","0","0","https://x.com/loeyypeaches/status/1836015684117229937","1674767444920115200","loeyypeaches"
"1835953138836332849","Tue Sep 17 12:05:48 +0000 2024","0","@queeeenae Kalo nyebut boneka di otak aku sekarang labubu yang lagi viral ","1836013682964181446","","queeeenae","in","","0","0","0","https://x.com/mainecozn/status/1836013682964181446","1828778648796790784","mainecozn"
"1836013073913831700","Tue Sep 17 12:03:22 +0000 2024","0","Asal-Usul Boneka Labubu yang Bikin Pencintanya Rela Antre dari Subuh https://t.co/ZR62aXvZSj #labubu #LabubuMacaron","1836013073913831700","","","in","Indonesia","0","0","0","https://x.com/chatnews_id/status/1836013073913831700","1430542109044477958","chatnews_id"
"1836012779071066237","Tue Sep 17 12:02:12 +0000 2024","2","Banyak warganet rela menghabiskan waktu berjam-jam demi membeli boneka Labubu Pop Mart. Bahkan ada yang datang dari subuh hingga antre sampai 17 jam https://t.co/3A3JUbOP1f","1836012779071066237","","","in","Jakarta","1","0","1","https://x.com/kompascom/status/1836012779071066237","23343960","kompascom"
"1836006741915717811","Tue Sep 17 12:01:48 +0000 2024","1","@ochie_tweets Kaka oci.. beli dong boneka labubu yg dri kain nich https://t.co/QacOoMePyI","1836012679007531303","https://pbs.twimg.com/media/GXrTzDVbEAAXzt9.jpg","ochie_tweets","in","Tangerang, Banten","0","0","0","https://x.com/tommyAjahh/status/1836012679007531303","1354031296524111873","tommyAjahh"
"1836012558215786585","Tue Sep 17 12:01:19 +0000 2024","0","Udah nyaman di fase sekarang si nyaman bangettttt tapi apa hidup gini2 aja? engga ga boleh aku harus naikkk lagii ke tangga kehidupan selanjutnya btw pengen banget boneka #labubu","1836012558215786585","","","in","Semarang ","0","1","0","https://x.com/NRiskaselly/status/1836012558215786585","1422593257544904708","NRiskaselly"
